text,date,rating,has_official_reply,reactions_total
"один из лучших университетов в Казахстане, в юридическом и финансовом плане точно номер 1 , студенческая жизнь здесь на высоте! Спасибо за то что вы есть🔥❤️",14 июля 2025,5,True,48
Очень современно внутри,28 января 2026,5,True,0
Класноееее,28 января 2026,5,True,0
Айдос 👍,27 января 2026,5,False,0
"Современно, красиво очень чисто.",27 января 2026,5,True,0
"Охранник хамLo, натуральное былLo
Смена 26 января в 15:40",26 января 2026,1,False,1
к сожалению 0 звезд поставить нельзя,26 января 2026,1,True,1
❤️,23 января 2026,5,True,0
"If I could put no stars, I would.",22 января 2026,1,False,5
"Очень неорганизованно, предвзятость , телефон не берут . Очень жалеем , что учимся здесь . Вопросы не решаются , пока не достучишься до руководства",22 января 2026,1,True,6
Эдвайзер Арсен топтоптоп🔥🔥🔥,22 января 2026,5,True,1
😍,21 января 2026,5,True,0
адемыы,21 января 2026,4,True,0
🙃,21 января 2026,1,True,1
ПОЧЕМУ ТАК ТЯЖЕЛО ДО ВАС ДОЗВОНИТЬСЯ АЛО КАК ВООБЩЕ РАБОТАЕТ ПРИЕМКА?,21 января 2026,1,True,2
"Эдвайзеры и регистрация предметов вроде хорошая идея, но как обычно работают ужасно эдвайзеры сами не знают что как работают еще когда что то просишь перенести или поменять некоторые на отрез отказываются, хотя есть полное право что либо менять и поэтому каждый день ходишь и ищешь адекватных эдвайзеров которые нормально работают",20 января 2026,1,True,3
не советую,20 января 2026,1,False,4
"болады,стресс алам десендер",17 января 2026,5,True,59
...,12 января 2026,3,False,0
Лучший универ,12 января 2026,5,True,0
💚,11 января 2026,5,True,0
"Здесь я потерял 4 года ...
По мне только в гуманитарий университет норм, в остальном разочарован. Будучи технарем получал удовольствие от гуманитарных дисциплин в которые попадал изредка. Может стоило мне обучиться на Английском, но кажется ничего особо не поменялось бы. Мне было скучно здесь, очень скучно в течений 4 лет, зачастую пропускал пары и не было мотиво учиться, стараться и в конечном итоге это дошло то того что я просто перестал ходить в универ, уже должно быть я отчислен)
Было забавно что запрещали одевать классику в шахматы пока в кабинете висели более 30 портретов шахматистов одетые в классику.
Обучался я на Казахском.",9 января 2026,1,True,3
"фронт офис, делайте пожалуйста свою работы нормально!!",9 января 2026,1,True,4
Өте нашар екен Нархоз. Студенттерге жағдай жасамайды. Эдвайзерлер дұрыс жауап бермейді. Деканат вообще. Өздерін жоғары ұстайды. Студентті адам құрлы көрмейді,8 января 2026,1,True,5
"Нужно, чтобы все учебные заведения такими были! Тогда и ученики будут с радостью туда приходить. Всё красиво и современно.",6 января 2026,5,True,1
Жаксы университет ішінде зал улкен студенттерге коптеген жаксы мүмкіндіктер бар шет елдегі ауқымды университеттермен келісім шарттары бар солармен көптеген жұмыстар өткізіп бәрі жоғары сапада өтеді,5 января 2026,5,False,0
"Ничего не меняется в ГШ - отзыв руководству передали, но результатов ноль. Толку нам писать что над студентами измываются без остановки? Вот еще вам факт, который якобы передадут руководству. КОК ГШ недавно допустил к сессии одну знакомую по пропускам. У нее их было больше 7 и она сессию сдала. А у другой девочки стоит недопуск и она будет платить за тот же предмет весной. Справедливость? Не, не слышали. В результате правила утрачивают смысл, а студентам демонстрируется, что любые требования можно обойти через комиссию, через КОК. При этом все оформляют максимально помпезно, чистая бюрократия, и кто его знает, что они получают за эти разрешения - барские дозволения.",29 декабря 2025,1,True,55
"Хочу оставить честный отзыв о работе Айгерим Аякешовой и Анар Абдукалиевой. К сожалению, при общении со студентами по организационным вопросам информация часто объясняется недостаточно понятно. В результате у студентов остаются вопросы и возникает путаница.

Кроме того, стиль общения с студентами нередко бывает излишне жёстким и грубым, что создаёт некомфортную атмосферу. Я считаю, что в подобных организационных вопросах особенно важно проявлять терпение, уважение и готовность помочь студентам.",29 декабря 2025,1,True,9
"Здравствуйте почему канвас постоянно гонит , предметы снова исчезли а экзамен еще не окончен",29 декабря 2025,4,True,0
❤️❤️,27 декабря 2025,5,False,0
"Фронт офистегі Сабина ханым өте тез әрі сапалы жұмыс істейді. Маған бірнеше справкамды жасап берді, әрі жылы шыраймен қарсы алды. Өте күшті қызметкер☺️☺️☺️",26 декабря 2025,5,False,0
Керемет оқу орны,26 декабря 2025,5,False,0
НАРКОЗ сила недавно ходили туда все очень понравилось подарили кружку навоз было очень красиво проводились интересные конкурсы в целом добрая атмосфера.,24 декабря 2025,5,True,0
"Знаменитый Нархоз! На сегодняшний день не менее красив, уютен и гостепреим! Были на фестивале танца “Биле TIME” в этом здании. Особенно понравилась работа: организаторов фестиваля,строгих оранников и шустрых буфетчиц - ним можно судить - какая значит здесь Администрация.",24 декабря 2025,5,True,0
Дорога все в пробках,23 декабря 2025,5,False,0
"В сообществе, где ценятся открытость и честность, подлинная вовлечённость проявляется в смелости говорить прямо и конструктивно. Ведь чтобы действительно улучшать что-то вокруг, нужно не просто комментировать из тени, а открыто вкладываться в общее дело. Смелость и вовлечённость — это готовность участвовать и действовать, а не прятаться за анонимностью.",22 декабря 2025,5,True,5
Клевааа,22 декабря 2025,5,False,0
"В подразделении ГШ, где декан занимается самолюбованием – смотрите хвалебные и пустые отзывы ниже и в инстаграм, сложилась система управленческого произвола и низкой профессиональной культуры. Решения принимаются непоследовательно и без понятных критериев, что говорит об управленческой несостоятельности.
Нагрузка распределяется откровенно несправедливо: «свои» освобождены от прокторинга и дежурств, остальные преподаватели систематически перегружены, что указывает на фаворитизм и кумовство.
КОК фактически не отвечает за качество преподавания и некомпетентен в вопросах оценки образовательных результатов.
Качество образования и интересы университета подменены личной выгодой; ситуация требует немедленной проверки и управленческих решений.",22 декабря 2025,2,True,9
Очень красива,21 декабря 2025,5,True,0
Классно там очень красотааа❤️,21 декабря 2025,3,True,0
Отличный университет,21 декабря 2025,5,True,0
